Source,Target,Type
1,2,undirected
1,3,undirected
1,5,undirected
1,7,undirected
1,11,undirected
1,13,undirected
1,17,undirected
1,23,undirected
1,24,undirected
1,27,undirected
1,37,undirected
1,39,undirected
1,42,undirected
1,44,undirected
1,47,undirected
1,48,undirected
1,49,undirected
1,57,undirected
1,63,undirected
1,64,undirected
1,79,undirected
1,84,undirected
1,86,undirected
1,90,undirected
1,94,undirected
1,95,undirected
1,100,undirected
1,102,undirected
1,104,undirected
1,106,undirected
1,110,undirected
1,119,undirected
1,120,undirected
1,121,undirected
1,132,undirected
1,134,undirected
1,140,undirected
1,151,undirected
1,161,undirected
1,164,undirected
1,184,undirected
1,186,undirected
1,195,undirected
1,198,undirected
2,3,undirected
2,4,undirected
2,6,undirected
2,8,undirected
2,12,undirected
2,21,undirected
2,30,undirected
2,34,undirected
2,36,undirected
2,51,undirected
2,53,undirected
2,57,undirected
2,59,undirected
2,60,undirected
2,66,undirected
2,75,undirected
2,130,undirected
2,200,undirected
3,4,undirected
3,5,undirected
3,7,undirected
3,10,undirected
3,11,undirected
3,12,undirected
3,19,undirected
3,22,undirected
3,23,undirected
3,26,undirected
3,29,undirected
3,30,undirected
3,47,undirected
3,105,undirected
3,109,undirected
3,126,undirected
3,136,undirected
3,148,undirected
3,153,undirected
3,156,undirected
3,167,undirected
3,181,undirected
3,186,undirected
3,190,undirected
3,192,undirected
4,8,undirected
4,9,undirected
4,14,undirected
4,17,undirected
4,24,undirected
4,25,undirected
4,30,undirected
4,31,undirected
4,33,undirected
4,38,undirected
4,49,undirected
4,55,undirected
4,61,undirected
4,67,undirected
4,68,undirected
4,71,undirected
4,80,undirected
4,82,undirected
4,87,undirected
4,89,undirected
4,98,undirected
4,106,undirected
4,108,undirected
4,122,undirected
4,133,undirected
4,135,undirected
4,141,undirected
4,157,undirected
4,160,undirected
4,165,undirected
4,171,undirected
4,178,undirected
4,190,undirected
5,6,undirected
5,20,undirected
5,175,undirected
6,22,undirected
6,25,undirected
6,27,undirected
6,31,undirected
6,45,undirected
6,46,undirected
6,69,undirected
6,96,undirected
6,97,undirected
6,113,undirected
7,41,undirected
7,48,undirected
7,139,undirected
7,154,undirected
7,170,undirected
8,9,undirected
8,10,undirected
8,14,undirected
8,37,undirected
8,58,undirected
8,66,undirected
8,70,undirected
8,73,undirected
8,90,undirected
8,92,undirected
8,95,undirected
8,111,undirected
8,131,undirected
8,150,undirected
8,151,undirected
8,156,undirected
8,171,undirected
8,176,undirected
10,15,undirected
10,21,undirected
10,26,undirected
10,29,undirected
10,45,undirected
10,56,undirected
10,63,undirected
10,158,undirected
10,161,undirected
11,16,undirected
11,18,undirected
11,32,undirected
11,130,undirected
11,188,undirected
13,16,undirected
13,28,undirected
13,88,undirected
13,111,undirected
14,15,undirected
14,35,undirected
14,62,undirected
15,22,undirected
15,32,undirected
15,40,undirected
15,81,undirected
15,83,undirected
15,85,undirected
15,93,undirected
15,128,undirected
15,139,undirected
16,54,undirected
16,61,undirected
16,62,undirected
16,139,undirected
16,193,undirected
17,21,undirected
17,43,undirected
17,50,undirected
17,71,undirected
17,86,undirected
17,112,undirected
17,158,undirected
18,101,undirected
18,137,undirected
18,149,undirected
18,166,undirected
18,180,undirected
18,189,undirected
19,69,undirected
19,84,undirected
19,114,undirected
20,34,undirected
20,40,undirected
20,46,undirected
20,55,undirected
20,76,undirected
20,77,undirected
20,97,undirected
20,104,undirected
20,128,undirected
20,150,undirected
20,184,undirected
20,185,undirected
21,101,undirected
21,166,undirected
