Source,Target,Type
1,2,undirected
1,3,undirected
1,4,undirected
1,10,undirected
1,31,undirected
1,76,undirected
1,82,undirected
1,97,undirected
2,7,undirected
2,10,undirected
2,14,undirected
2,16,undirected
2,23,undirected
2,31,undirected
2,32,undirected
2,38,undirected
2,42,undirected
2,48,undirected
2,54,undirected
2,60,undirected
2,63,undirected
2,68,undirected
2,74,undirected
2,77,undirected
2,78,undirected
2,86,undirected
2,87,undirected
2,91,undirected
3,5,undirected
3,6,undirected
3,7,undirected
3,13,undirected
3,16,undirected
3,17,undirected
3,35,undirected
3,40,undirected
3,43,undirected
3,45,undirected
3,61,undirected
3,66,undirected
3,77,undirected
3,94,undirected
4,5,undirected
4,14,undirected
4,16,undirected
4,48,undirected
4,56,undirected
4,90,undirected
4,95,undirected
5,7,undirected
5,10,undirected
5,16,undirected
5,19,undirected
5,25,undirected
5,34,undirected
5,38,undirected
5,43,undirected
5,62,undirected
5,99,undirected
6,16,undirected
6,19,undirected
6,21,undirected
6,22,undirected
6,32,undirected
6,70,undirected
6,79,undirected
6,86,undirected
7,23,undirected
7,33,undirected
7,44,undirected
7,50,undirected
7,55,undirected
7,61,undirected
7,64,undirected
7,96,undirected
8,21,undirected
8,44,undirected
8,50,undirected
8,69,undirected
8,79,undirected
9,13,undirected
9,16,undirected
9,36,undirected
9,53,undirected
9,71,undirected
9,83,undirected
9,92,undirected
10,16,undirected
10,20,undirected
10,33,undirected
10,48,undirected
10,51,undirected
10,72,undirected
11,34,undirected
11,39,undirected
11,59,undirected
11,80,undirected
11,82,undirected
12,16,undirected
12,19,undirected
12,22,undirected
13,16,undirected
13,17,undirected
13,18,undirected
13,40,undirected
13,42,undirected
13,58,undirected
13,69,undirected
13,76,undirected
14,33,undirected
14,70,undirected
14,92,undirected
15,18,undirected
15,29,undirected
16,25,undirected
16,28,undirected
16,42,undirected
16,80,undirected
16,89,undirected
16,100,undirected
17,34,undirected
17,37,undirected
17,41,undirected
17,47,undirected
17,49,undirected
17,51,undirected
17,54,undirected
17,57,undirected
17,60,undirected
17,63,undirected
17,67,undirected
17,71,undirected
17,72,undirected
17,87,undirected
18,19,undirected
18,23,undirected
18,66,undirected
19,28,undirected
19,57,undirected
19,95,undirected
20,29,undirected
20,90,undirected
22,24,undirected
22,27,undirected
22,64,undirected
22,89,undirected
22,98,undirected
24,65,undirected
24,75,undirected
26,73,undirected
26,75,undirected
27,30,undirected
27,49,undirected
28,47,undirected
28,61,undirected
28,85,undirected
29,31,undirected
30,88,undirected
31,84,undirected
33,35,undirected
35,79,undirected
35,93,undirected
35,97,undirected
36,46,undirected
37,52,undirected
37,57,undirected
39,70,undirected
41,46,undirected
41,67,undirected
41,93,undirected
42,53,undirected
42,85,undirected
43,68,undirected
43,98,undirected
44,49,undirected
45,91,undirected
48,49,undirected
49,53,undirected
49,65,undirected
49,67,undirected
49,74,undirected
51,78,undirected
52,81,undirected
54,56,undirected
55,81,undirected
56,82,undirected
58,76,undirected
58,100,undirected
59,73,undirected
60,83,undirected
62,69,undirected
65,71,undirected
73,94,undirected
77,88,undirected
80,84,undirected
83,99,undirected
92,96,undirected
